sentence,true_label,predicted_label,source
"Lopez was allegedly targeting members of the Young Goon gang , who had a seven - year beef with the 8 Block crew he belonged to .",1,0,esl2
TRIAL REGISTRATION: ClinicalTrials.govNCT00081328.,0,1,Pubmed data.csv
"Yet, when group identification was high, both leader types appeared to be equally efficient.",1,0,Ssc
"A 25 cent-per-drink alcohol tax increase would reduce excessive drinking, and higher-risk drinkers would pay the substantial majority of the net tax increase.",1,0,Haber
Lindsay Lohan Check Into Betty Ford After Fleeing Other Rehab Facility,1,0,esl2
E Protein intake exceeding the RDA did not increase LBM,1,0,Haber
"While 5ARI use was not associated with developing highgrade or lethal prostate cancer, they were associated with a reduction in low-grade, Gleason 7 and overall prostate cancer.",1,0,Haber
Doctors   gut feeling  should not be ignored,0,1,Press_Release
"In this community-based cohort, smoking cessation was associated with a  lower risk of CVD events among participants without diabetes, and weight gain that  occurred following smoking cessation did not modify this association.",1,0,Haber
""" There are a lot more downward revisions of earnings forecasts than upward revisions, "" said Abby Joseph Cohen, a market strategist at Drexel Burnham Lambert. "" People are questioning corporate profits as a pillar of support for the equity market. """,0,1,ctb
Sadness leads to dissatisfaction with the job .,1,0,semeval
Dr . Legome discussed the hospital ' s response to the news that a plane had crashed into a river .,0,1,semeval
"Policies like the Pigouvian subsidy ignore these non-Nash behaviors, and the result is that inefficient under-extraction is exacerbated in our context.",1,0,Ssc
The worst pain of all was caused by the torment to her head which was like the pain of thorns pressing into her .,1,0,semeval
"Many metals, including manganese, copper, zinc, arsenic, selenium, and cadmium in plasma, are associated with the morbidity of diabetes.",1,0,Pubmed data.csv
"France kept its fleet but the British feared the Germans would seize it , so on 3 July , the British attacked it .",1,0,altlex
"Subjects who did not see the pool size drop tended to vote against the elimination of free access to the commons, whereas subjects who did see their pool size drop voted to relinquish free access.",1,0,Ssc
Improved glucose control slows progression to end stage renal disease in type 1 diabetes,1,0,Press_Release
This suggests that obese patients with symptomatic lumbar spinal stenosis may require longer to recover after decompression but can  expect to reach equivalent outcomes of similarly treated patients with BMI\\xa0<30.,0,1,Pubmed data.csv
"Mild PTSD symptoms are common in patients with lung cancer 6 months after treatment; however, a full diagnosis of PTSD is uncommon.",1,0,Pubmed data.csv
The resting pulse rate of UK pre-teens may have risen by up to two beats a minute during the past 30 years.,0,1,Press_Release
"Famine following drought has hit the West African savannahs , where there have been other bad droughts , notably the great one of 1972-74 .",1,0,semeval
"In fact, the study funded in part by grants from the National Institutes of Health (NIH) and published in the American College of Rheumatology (ACR) journal, Arthritis Care & Research, suggests that walking 6,000 or more steps per day may protect those with or at risk of knee of OA from developing mobility issues, such as difficulty getting up from a chair and climbing stairs.",1,0,Press_Release
"In addition, they suggest several avenues for further investigation regarding the subcomponents of psychopathy.",0,1,Ssc
"The ruling, which does not affect Nelson's guilty plea, sends the case back to the trial court for resentencing.",1,0,because
The results should be confirmed in a larger prospective study.,0,1,Pubmed data.csv
61 percent fall in female genital warts due to free HPV vaccine,1,0,Press_Release
"To determine , once and for all , how the manakin was making its bizarre sounds , Bostwick and colleagues decided to take feather samples .",1,0,semeval
"In addition, results from the laboratory experiments reveal that subjects donate less when they are aware that an individual could have announced support but chose not to do so.",1,0,Ssc
"For the purposes of this survey, the Wall Street Journal will be counted as a separate and distinct publication from the Journal 's editorial page, because, in essence, it is.",1,0,because
"Otherwise, if the accumulated gain explains the behaviour of the birds but the one trial gain does not, then the birds are making decisions based on the four trial reward and are playing a mutualism game.",1,0,Ssc
TRIAL REGISTRATION: ClinicalTrials.gov NCT02079961.,0,1,Pubmed data.csv
"A Superior Court jurty in Norwalk today convicted a Hawaiian Gardens gang member of murdering L . A . County Sheriff's Deputy Jerry Ortiz in June , 2005 . The District Attorney's office says in a release that the jury found Jose Luis Orozco , 29 , guilty of 1st degree murder , attempted murder and posession of a firearm by a felon .",0,1,esl2
"Sixers Hire Maurice Cheeks as Head Coach Cheeks , who played for the Sixers for 11 seasons and served as an assistant coach for seven , was named coach after Jim O'Brien was relieved of his coaching duties .",1,0,esl2
"However several species of fungi , insect , and bacteria cause mortality or reduced growth of the tree .",1,0,semeval
"The first seismic arrival from an earthquake is the P wave , which is usually relatively low-amplitude .",1,0,semeval
Tony Lama Co. said that Equus Investment II Limited Partnership has proposed changing the offer for the company to $ 13.65 in cash and stock from an all-cash transaction.,0,1,ctb
"While the  Romanian iodine fortification programme reflected onto its UI levels, a representative assessment of iodine status in Cyprus will address the necessity of an iodine fortification programme.",0,1,Pubmed data.csv
"Second, using fixed-effects equations and  prospective analysis, the analysis reveals that envy today is a powerful predictor  of worse SF-36 mental health and well-being in the future.",1,0,Haber
"Among frail patients or those with multiple comorbidities, over three quarters with low HbA1C did not have their glycemic therapy deintensified,  even after safety concerns were raised in the ACCORD trial.",0,1,Pubmed data.csv
"Furthermore, these findings reveal that the benefits of  physical activity to improvements in cognitive function are particularly evident  among children who are obese.",1,0,Pubmed data.csv
The poet Essex Hemphill conquered sorrow after the loss of a friend by taking up the cause of that friend .,1,0,semeval
"In North Korea , heavy rains from the storm caused widespread flooding and damage .",1,0,altlex
"In other words, acceptance would be more common if the subjects' expectations were met because, although a shared concept of fairness exists, fairness is sensitive to different factors (personal, situational, and social) that influence expectations and fairness perception.",1,0,Ssc
"But when one of them suffers a stroke caused by a clot in their brain, some emergency teams might hesitate to give a powerful clot-busting medication called tPA -- for fear that the combination of drugs might cause dangerous brain bleeding.",0,1,Press_Release
"In this population-based study, preeclampsia was significantly associated with noncritical heart defects in offspring, and preeclampsia before 34 weeks was associated with critical heart defects.",1,0,Haber
"Coast Savings Financial Inc. reported a third-quarter loss, citing a previously announced capital restructuring program.",0,1,ctb
A longer follow-up evaluation is required to accurately describe and assess specific risk factors for complications in this population.,0,1,Pubmed data.csv
"""Thus, promoting social support for the IMSS diabetic patients could be a useful intervention.""",1,0,Pubmed data.csv
I recently decided to work a bit outside of Visual Studio and configure a plain text editor to work with the C# compiler .,0,1,semeval
"Our findings suggest that living in neighborhoods where residents share the same
language may influence obesity-related behaviors (namely diet and physical activity) possibly through mechanisms involving social networks, support, and norms.",1,0,Haber
Mayo Clinic researchers confirm value of therapeutic hypothermia after cardiac arrest,1,0,Press_Release
"Thirty-day postoperative mortality rates were 0%, 0.9%, and 0.8% for the low-risk, intermediate-risk, and high-risk surgical groups, respectively, and were not statistically different.",1,0,Haber
"Brushing the air with both hands and coughing from the dust , it settled on both vehicles .",1,0,semeval
"On the other hand , the higher the satisfaction from the purchase , the greater the benefit of word-of-mouth referrals and repeat purchasing .",1,0,semeval
"It also found true special circumstances of murder of a police officer intentionally killed while performing his duties , murder to avoid arrest , street gang murder , lying in wait . . . and that Orozco personally used a handgun to commit the murder and the attempted murder , the D . A . 's release says .",1,0,esl2
"The UK economy has come out of recession , after figures showed it had grown by a weaker-than-expected 0 . 1% in the last three months of 2009 .",0,1,semeval
"Among Medicare beneficiaries  hospitalized with pneumonia, ICU admission of patients for whom the decision  appeared to be discretionary was associated with improved survival and no  significant difference in costs.",1,0,Haber
Providing new sustainable transport infrastructure was effective in promoting an increase in active commuting.,1,0,Haber
"This study extends previous work by demonstrating trends between both TPA and
35 walking and HRQL in women reporting depressive symptoms.",1,0,Haber
"CNW Corp. said the final step in the acquisition of the company has been completed with the merger of CNW with a subsidiary of Chicago amp North Western Holdings Corp. As reported, CNW agreed to be acquired by a group of investors led by Blackstone Capital Partners Limited Partnership for $ 50 a share, or about $ 950 million.",0,1,ctb
"After adjusting for sociodemographic and lifestyle
factors, a higher score on the plant-based dietary index was associated with lower insulin resistance (per 10 units higher
score: b = -0.09; 95% CI: - 0.10; - 0.08), lower prediabetes risk (HR = 0.89; 95% CI: 0.81; 0.98), and lower T2D risk
[HR = 0.82 (0.73; 0.92)].",1,0,Haber
"Known by many as one of the least favorite wintertime chores, shoveling snow can also be hazardous and is associated with many serious, even fatal events among both adults and children.",1,0,Press_Release
A spaghetti pie served at a church dinner had caused the poisoning of one hundred people .,1,0,semeval
"In women undergoing ECV for breech presentation, uterine relaxation with fenoterol increases the rate of cephalic presentation 30 minutes after the procedure.",1,0,Haber
"Detroit Office Shooter Charged With Murder , Attempted Murder A man fired four days earlier from his job as an accountant walked into his old office , passed by the receptionist and made his way to a manager's office with the purpose of killing him with a shotgun , a police sergeant said Wednesday during the man's arraignment .",1,0,esl2
Separation from a parent during childhood was associated with elevated risk for subsequent violent offending versus those who lived continuously with both parents.,1,0,Haber
"Larger studies are warranted to verify the impact of obesity on outcomes and to elucidate any underlying clinicopathologic/biologic factors.""",0,1,Pubmed data.csv
"Compared with the reference  group (persistently high socioeconomic circumstances), participants in other groups had elevated levels of depression (for upward mobility, multivariate odds ratios  (OR) = 1.21; intermediate socioeconomic position, 1.28; downward mobility, 1.66;  persistently low socioeconomic position, 1.82).",1,0,Haber
Low serum level of Chromium and manganese were found in diabetic patients as compare to non-diabetic individuals.,1,0,Pubmed data.csv
Millom double murder : Man charged with killing mother and sister,1,0,esl2
"Regarding implementation, the recent reports have stressed the need for supervisors to insist on strong risk measurement and risk management practices that allow managers to assess the risk that they face on a firm-wide basis.",1,0,because
"The studies revealed that skin irritation from soaps , inaccessibility to supplies or sinks , and insufficient time to wash hands between every patient care contact were the main reasons given by healthcare workers for lack of handwashing compliance .",1,0,semeval
"A powerful earthquake in Indonesia's Aceh province flattened buildings and sparked landslides Tuesday , killing at least five people and injuring dozens in a region devastated by the quake - triggered tsunami of 2004 . It destroyed houses in the district , some 320 kilometers from the provincial capital Banda Aceh , and triggered several landslides .",0,1,esl2
Participating in 3 h·wk(-1) of vigorous-intensity activity is associated with a 22% lower risk of MI among men.,1,0,Pubmed data.csv
No arrests were made in that fire .,1,0,esl2
Patients who see preferred doctor less likely to go for emergency hospital admission,1,0,Press_Release
The pressure was caused by the rapid power acceleration at the start .,1,0,semeval
Increased titers of cows milk antibody before anti-TG2A and celiac disease indicates that subjects with celiac disease might have increased intestinal permeability in early life.,1,0,Pubmed data.csv
"However, the improvement of the pCR rate translated to survival outcomes in TN breast cancer.",1,0,Pubmed data.csv
One possible reason for the difference between these two studies is that learning effects are more likely to overwhelm the effects of pair IQ in longer games; this may be related to the finding that worker IQ is a stronger predictor of performance in the early months on a new job while IQ's predictive power for worker performance weakens after years spent in the same job (Hunt 1995).,1,0,Ssc
"During January 2011 , the Philippine Atmospheric , Geophysical and Astronomical Services Administration predicted that between twenty and twenty-three tropical cyclones were likely to develop and/or enter the Philippine area of responsibility during 2011 .",0,1,altlex
The nutritional course for patients undergoing colon surgery can be improved by implementing early oral nutritional supplements in the PACU.,1,0,Pubmed data.csv
The 08 campaign green jobs was the main talking point of any speech .,0,1,semeval
Bedside assessment may provide better outcomes for older cancer patients,1,0,Press_Release
"The majority of cases of hemivertebra had coexisting anomalies, and in these cases the rate of perinatal loss was high.",1,0,Pubmed data.csv
"David and I have the same ""vision"" for our kennel of dogs and share the same philosophy in what we want our Labradors to represent .",0,1,semeval
"While the exact cause for this phenomenon is unknown, the human papillomavirus (HPV) may be to blame.",1,0,Press_Release
The Maariv newspaper said Sunday that Netanyahu's comments last week were in response to signals from Syria that it wants to renew the long-stalled peace talks between the two countries.,1,0,ctb
"While bond investors would have preferred growth to be a little slower, they were cheered by inflation measures in the data that showed prices rising at a modest annual rate of 2.9 %.",0,1,ctb
Today 's composers have combined some of these ideas to develop their own styles .,1,0,altlex
Perinatal depression was frequent and associated with febrile illness in the offspring,0,1,Haber
"Gang member guilty in slay of Brooklyn mom of 12 Andrew Lopez , 20 was found guilty in murder of Zurana Horton .",0,1,esl2
"In adults aged 60–64 years, participation in self-selected activities such as LTPA and
walking are positively related to mental well-being, whereas total levels of free-living PA are not.",1,0,Haber
"Profit climbed to $ 98 million from $ 71 million in the petroleum segment, as Du Pont's Conoco Inc. oil company was helped by crude oil prices higher than a year ago and by higher natural gas prices and volume.",1,0,ctb
However Susanoo was in sorrow after the loss of his mother and he was raging in his kingdom .,1,0,semeval
There is great concern among voters over the economy .,0,1,semeval
"In a sad and surprising reversal of gender roles , a disgruntled woman opened fire at a Kraft factory in Philadelphia last night , killing two workers and wounding two others .",1,0,esl2
"Separately, Innopac reported a fourth-quarter loss of about C $ 2.6 million, or 18 Canadian cents a share, reflecting inventory write-downs.",1,0,ctb
Swelling of the resin is caused by the expansion of the structure as a result of water (or other liquid) molecules penetrating the matrix .,1,0,semeval
Cognitive decline incidence higher in Southern stroke belt,1,0,Press_Release
"Troy , Michigan Office Shooting Follow - Up - 1 Dead , 2 Injured , and Suspect Caught ""A man suspected of shooting three people , killing one , at an accounting firm where was fired last week was arrested after a high - speed chase a few hours after the Monday morning attack , authorities said .",1,0,esl2
"As one individual increases his or her effort, the personal payoff increases regardless of other individuals' actions (the left panel); however, as the aggregate effort of the other individuals increases, the payoff for that particular individual decreases (the right panel), more clearly demonstrating the negative externality.",1,0,Ssc
"The second insight is that the inefficiency observed in heterogeneous groups is not only due to the inefficiently low levels of contribution, but also due to a relative underuse of rewards.",1,0,Ssc
"In early PD, weight gain was revealed over three years accompanied by an increase in FM and waist circumference.",1,0,Pubmed data.csv
"People ran out of their homes when the quake hit , AP reported , citing residents of Bukit Sama village in Central Aceh district , where the quake has led to a power outage . ""Many people were injured but it is difficult to evacuate them due to traffic jams . """,1,0,esl2
"In poorer countries, young children are more likely to die in the months before their mother's death, when she is seriously ill, and also in the period after her death, according to a study by international researchers published in this week's PLOS Medicine.",1,0,Press_Release
"Mrs. Biggert:  Thank you, Mr. Chairman, and thank you for holding today's hearing on systemic risk.",1,0,because
"Despite uptake by physicians, a financial incentive did not alter follow-up after hospital discharge.",1,0,Haber
"In this contemporary cohort, incidence of fever was low but CD4 cell count less than 200/mm³ remained associated with the highest incidence of fever.",1,0,Pubmed data.csv
"Preoperative indicators of psychopathology, notably indicators that are dimensional in nature, are important in predicting postoperative outcomes.",1,0,Pubmed data.csv
The tardiness however has been caused by the arrival of my old man; who in true Bloodworth fashion has had me walking everywhere .,1,0,semeval
Most of the temperature-related mortality burden was attributable to the contribution of cold.,1,0,Haber
"Despite treatment advances, stroke is still a leading cause of death and disability, with older age and impaired intellectual capacity (cognitive function) before a stroke associated with higher risks of death and disability afterwards.",0,1,Press_Release
TRIAL REGISTRATION: ClinicalTrials.gov NCT01264497.,0,1,Pubmed data.csv
"A magnitude - 6 . 1 earthquake struck Indonesia's Aceh province on Tuesday at 07 : 37 a . m . UTC ( 3 : 37 a . m . EDT ) , killing at least one and leaving two others missing , the Associated Press reported . No tsunami warnings were issued following the quake , which injured dozens and damaged several houses in Takengon , the capital of Central Aceh district , AP reported .",0,1,esl2
The quarrel during the night of the crime was caused by money .,1,0,semeval
"In women undergoing external cephalic version (ECV) for breech presentation, uterine relaxation with fenoterol increases the rate of cephalic presentation 30 minutes after the procedure.",1,0,Haber
Mark Jay Heller told a judge that Lohan was settling in at Morningside Recovery and argued that the actress should be allowed to stay until a judge approves her placement .,1,0,esl2
"A hospital-based pneumonia diagnosis was associated with an increased risk of a cancer diagnosis, especially in the ensuing months, but the absolute risk was small.",1,0,Haber
Established measures of T2D risk remain the best predictor of T2D risk in this population.,1,0,Pubmed data.csv
"We demonstrate a significant socio-economic gradient in mental health between the ages of three and nine years, but little evidence for negative effects of large sibship size.",1,0,Haber
Dow Jones said it extended the offer to allow shareholders time to review a supplement to the Dow Jones tender offer circular that it mailed last Friday.,1,0,ctb
Additional work is needed to understand decision-making and to standardize delivery of procedural sedation in children requiring I&D.,0,1,Pubmed data.csv
Survival rates for premature babies in high level NICUs are better than previously reported,0,1,Press_Release
Courtaulds has been under pressure to enhance shareholder value since takeover speculators -- including Australian financier Kerry Packer -- surfaced holding small stakes last year.,1,0,ctb
"After adjusting for a wide range of socio-demographic factors, subjects who had
been given large transfers were much more likely to report very good health than subjects who had not been given anything",0,1,Haber
"The steam caused a backpressure on the VTD , resulting in the rupture disc opening .",1,0,semeval
The tsunami resulted in significant property damage but only two fatalities in RS .,1,0,semeval
"The company noted that its Fox - Meyer Drug Co., Ben Franklin Stores Inc. and Permian Corp. operations showed improvements as a result of restructuring moves.",1,0,ctb
"In this large study, greater adherence to the Mediterranean diet was associated with longer telomeres.",1,0,Haber
"In a joint collaboration between the Global Health Institute at EPFL in Switzerland and Louisiana State University, clear evidence was found that a never-before-seen strain of Mycobacterium leprae has emerged in the Southern United States and that it is transmitted through contact with armadillos carrying the disease.",1,0,Press_Release
Regression analyses controlling for enrollment differences indicated that intervention group mothers had significant improvements in 3 of 5 subscales and in total Adult-Adolescent Parenting Inventory-2 scores relative to the comparison group.,1,0,Haber
ACH-defined PD was associated with total cancer risk in ever but not never smoking postmenopausal women.,1,0,Pubmed data.csv
The restaurant operator cited transaction costs from its 1988 recapitalization as a result of a $ 160 million restructuring of its bank debt.,1,0,ctb
"CLINICAL TRIAL REGISTRATION: Australian New Zealand Clinical Trials Registry, ACTRN12610000522011.",0,1,Pubmed data.csv
"""SEACOM's partner network experienced a terrestrial fibre cut between Alexandria and the Suez this morning 16th August from 06 : 31GMT . Total downtime was 1hr 4 mins , "" SEACOM said in an official statement .",1,0,esl2
Registers are used for the most frequently needed data items to avoid having to access main memory every time data is needed .,1,0,altlex
The government established an independent agency which is to boost quality in higher education .,0,1,semeval
"LEVEL OF EVIDENCE: Level III, retrospective comparative study.",0,1,Pubmed data.csv
"Adults with YOD have excess hospitalizations across their lifespan compared with persons with usual-onset T2D, including an unexpectedly large burden of mental illness in young adulthood.",1,0,Haber
"Slip-blind plates that would have prevented water from pipes being cleaned from leaking into the MIC tanks , had the valves been faulty , were not installed and their installation had been omitted from the cleaning checklist .",0,1,altlex
"In conclusion, we found no evidence that co-existing CD influences survival in individuals with LPM.",1,0,Haber
The decline has been caused by the immigration of lower ability immigrants .,1,0,semeval
Household exposure remains a major driver of incident TB risk among household contacts of identified TB cases.,1,0,Haber
The importance of the team composition in ICUs,1,0,Press_Release
"Thus, whereas at first sight guilt merely indicates the presence of a repentant transgressor, other group members may indirectly profit from this emotional display because it may lead third parties to evaluate them as prosocial.",1,0,Ssc
"In wooing British lawmakers, GM has pointed out that its willingness to settle for a minority stake would keep Jaguar British-owned and independent.",1,0,ctb
"A powerful earthquake has hit southern Iran , killing at least 10 people , injuring dozens more and damaging several villages , officials say .",1,0,esl2
"We innovated telephone redemptions, daily dividends, total elimination of share certificates and the constant $ 1 pershare pricing, all of which were painfully thought out and not the result of some inadvertence on the part of the SEC.",1,0,ctb
Our study indicated that adherence to the WCRF/AICR recommendations is inversely related to CRC risk.,1,0,Pubmed data.csv
"One place Lindsay is finding this particularly difficult though is at the Betty Ford Centre , where the actress has just finished 30 days' worth of treatment and has decided that the renowned facilities there won't be enough to keep her around for her court - ordered 90 - day stay in rehab , so she's gone elsewhere . According to a report from TMZ published this week ( June 13 ) , the Mean Girls actress has had enough of the Palm Springs rehab centre and has decided to spend the rest of her court - ordered stay in a rehab centre in Malibu , named the Cliffside .",1,0,esl2
Deadly fire - bomb hits bank during Greek riots A fire - bomb attack on a bank in Greece killed at least three people Wednesday as police fought pitched battles with striking protestors furious at brutal budget cuts designed to avert national bankruptcy .,1,0,esl2
"The grief from sudden death is completely different from expected death , when families have time to prepare and say goodbye .",1,0,semeval
"The 12-month 7-day point prevalence smoking abstinence rate after participation in the intensive, 1-week, residential program was 57.0%.",1,0,Haber
"The added strategic incentives for weak reciprocity significantly increased the estimated reciprocity in both maintenance and provision (Fig. 3b, panel 1; multilevel mixed effects models, P < 0.001; Supplementary Table 4).",1,0,Ssc
"This time of year many people make resolutions to live a healthier lifestyle, exercise more, lose weight and eat better.",0,1,Press_Release
"As predicted by the social cognitive processing theory, cognitive processing mediated the relationship between social constraints and depressive symptoms.",1,0,Pubmed data.csv
This study provides further evidence that the lower mortality associated with volunteering is unlikely to be due to health selection or to residual confounding arising from unmeasured selection effects within households.,1,0,Haber
The fire inside WTC was caused by exploding fuel .,1,0,semeval
Hospitalization of patients with stroke in PSCs was associated with decreased 7-day and 30-day case fatality compared with noncertified hospitals.,1,0,Haber
"In this large population-based study, greater whole brain WMHV was associated with steeper annual decline in functional status over the long term, independently of risk factors, vascular events, and baseline functional status",0,1,Haber
"Moreover, excluding incentives related to time preferences could result in an overestimation of investment levels in public goods with long-term benefits.",1,0,Ssc
"In summary, mental health has historically improved between successive cohorts, including for the jilted generation.",1,0,Haber
Hawaiian Gardens Gangmember Convicted Of Murdering Lakewood Stn . Sheriff's Deputy Jerry Ortiz,1,0,esl2
"Toxoplasmosis is caused by infection with Toxoplasma gondii , an obligate intracellular parasite .",1,0,semeval
"Tehran's seismologic center said the quake measured magnitude - 5 . 9 , but the U . S . Geological Survey in Golden , Colo . , said it was a magnitude - 6 . 1 temblor . A magnitude - 6 . 0 quake can cause severe damage .",0,1,esl2
"A man fired four days earlier from his job as an accountant walked into his old office , passed by the receptionist and made his way to a manager's office with the purpose of killing him with a shotgun , a police sergeant said Wednesday during the man's arraignment .",1,0,esl2
"( Tue , 16 Aug 2011 ) This morning one of the Wits Internet Service providers , SEACOM , experienced an outage affecting International Internet browsing . TENET will continue to monitor and ensure that it is stable however , but from the looks of things traffic should now be flowing normally again .",1,0,esl2
Long-term weight-loss maintenance is possible and requires sustained behavior change.,1,0,Haber
The shifts are caused by gas flows going up one leg and returning down the other .,1,0,semeval
"Using a DBW for heparin dosing in patients 20% over their IBW resulted in similar times to therapeutic aPTT and adverse events in the nonobese, obese, and severely obese.",1,0,Pubmed data.csv
Worse QOL was correlated with poorer values for FEF 25-75%.,1,0,Pubmed data.csv
"It's just our sense, and of course you're in a better place than we are to make the judgment, that the more complex issues like resolution or even financial regulatory restructuring are simply not likely to happen in a short term, and we need to take the time to make sure it's done right and thoroughly worked through.",1,0,because
Researchers from Taiwan have confirmed a bidirectional relation between schizophrenia and epilepsy.,1,0,Press_Release
The accolade was decided upon after an intense discussion between about 200 members .,1,0,semeval
New study examines stair related injuries among children in the US,0,1,Press_Release
A city nightclub has had an ambitious expansion plan blocked over concerns about unruly behaviour from drunken revellers .,1,0,semeval
"""I see many houses were damaged and their roofs fell onto some people , "" central Aceh district resident Bensu Elianita told the Associated Press . ""Many people were injured but it is difficult to evacuate them due to traffic jams . """,0,1,esl2
Body mass index in adolescence associated with early occurrence of diabetes and heart disease,1,0,Press_Release
"In terms of school casualties , thousands of school children died due to shoddy construction .",1,0,altlex
"Baljinder Singh is still recovering in The Alfred hospital , a week after he was stabbed in the stomach with a screwdriver by two men as they robbed him of his wallet .",0,1,semeval
"The Ukrainian world champion extended his unbeaten run to eight years by overcoming 40 - year - old Thompson in Berne , Switzerland on Saturday . Thompson never recovered from a big right hand from Klitschko near the end of the fifth round .",0,1,esl2
Here are some ways to avoid mindless eating and boost your weight loss from running .,1,0,semeval
"The Sixers made a power move this offseason , firing head coach Jim O'Brien , who wasn't a Dalembert fan , and replacing him with Mo Cheeks , who is .",1,0,esl2
"Cooperative corporate culture can be nurtured by starting small, as Weber (2006)  shows experimentally with a coordination game.",1,0,Ssc
"While IMT and PWV increased in type 2 diabetes, these were not modified in MetS.",1,0,Pubmed data.csv
"Convicted of second - degree murder and assault in the first degree , Lopez , 20 , faces a potential sentence of life in prison when he is sentenced by Justice Vincent Del Giudice .",1,0,esl2
"The old Matanuska Maid dairy building in Palmer was nearly destroyed by a fire early Tuesday morning , according to Palmer officials .",1,0,esl2
"In this multiethnic cohort, alterations in LV mass preceded hypertension onset among normotensive individuals.",1,0,Haber
"Wladimir Klitschko stopped Tony Thompson in the sixth round to keep a comfortable hold on his WBA , IBF and WBO heavyweight title belts on Saturday in Bern , Switzerland .",1,0,esl2
The law established a major redistribution of territorial sovereignty within the Empire .,1,0,semeval
The idea is the heatsink removes the heat from the CPU and the fan blasts the heatsink with the surrounding air cooling it down .,0,1,semeval
Out of pocket costs play major role in treatment adherence for cancer patients,1,0,Press_Release
"O'Brien sued , claiming he was terminated without cause , and both parties filed motions for summary judgment .",1,0,esl2
"Because you contributed ten (10) points, your kept income is zero (0) points and your total income = 0+7.2=7.2 points.",1,0,Ssc
There are no indications that endogenous and exogenous gonadal hormones affect the radiation dose-response relationship.,1,0,Pubmed data.csv
"The larger this bias, the stronger the effect of ignorance on norm compliance.",1,0,Ssc
"13 , students were evacuated from Conrad Residence for approximately 15 minutes after burnt food in one of the kitchens set off the fire alarm .",1,0,semeval
"Secondly, the experience of conflict may create or deepen ingroup identity, strengthening other-regarding preferences toward in-group members and making it more attractive to cooperate within groups.",1,0,Ssc
"Hence, this community-based overweight and obesity treatment program may help accommodate the need for improvements in treatment availability and accessibility.",1,0,Pubmed data.csv
"Lymph node dissection,  the current standard surgical treatment for localized non-small cell lung cancers, may be unnecessary in certain screen-detected early stage cases , according to a study published in the March issue of the Journal of Thoracic Oncology (JTO), the official journal of the International Association for the Study of Lung Cancer.",0,1,Press_Release
"Evictions decreased after Medicaid expansion, demonstrating further evidence of the substantive financial protections afforded by this coverage.",1,0,Haber
This study provides evidence to support Durkheim’s hypothesis that parenthood confers a protective effect against suicide.,1,0,Haber
The findings from the retrospective cohort study were just published in the Journal of Maternal-Fetal and Neonatal Medicine.,0,1,Press_Release
"But despite its unsuitability , and the availability of more sensible and decisive options , it retained a certain allure due to its offensive nature and the pessimism of pre-war thinking , which expected offensive operations to be short-lived , costly in casualties and unlikely to be decisive .",1,0,altlex
"It is anticipated here that in the absence of an established distribution rule (uncertainty), the division of resources among individuals in group and coalition distributions will be anchored by cues from the surrounding context.",1,0,Ssc
"Among women aged 30 to 44 years without a history of infertility who had been trying to conceive for 3 months or less, biomarkers indicating diminished ovarian reserve compared with normal ovarian reserve were not associated with reduced fertility.",1,0,Haber
Topical insulin is safe for human ocular usage.,0,1,Pubmed data.csv
Higher plasma bicarbonate levels were associated with lower odds of incident type 2 diabetes mellitus among women in the Nurses' Health Study.,0,1,Haber
"In the 1998 crisis , capital flight caused a crisis on the currency markets , as the removal of funds from Russia necessarily entailed the conversion of rubles to dollars .",1,0,semeval
"Although the barrier prevented suicides at Bloor Street  Viaduct, the rate of suicide by jumping in Toronto remained unchanged.",1,0,Haber
"Nevertheless, in the absence of any adverse effects, LGI diets remain an option for diabetes and cardiovascular disease risk management.",0,1,Pubmed data.csv
"But in recent weeks, construction-industry sources reported that early preparation work was slowing at the 185-acre site. Subcontractors said they were told that equipment orders would be delayed.",0,1,ctb
There were no significant differences in overall 30-day mortality rates among patients treated by locum tenens compared with non–locum tenens physicians,0,1,Haber
"Lohan had checked into Morningside Recovery Center Thursday morning , but then left because “ she was not happy with the place , ” her father said .",1,0,esl2
"Although no large difference between the original and reactive model was found when explaining the behavior of human participants in the current experiment, we would predict a larger difference in the behavior of these two models under circumstances where the other player changes its behavior.",0,1,Ssc
"Leader-led battlefi eld ethics training positively influenced soldiers’ understanding of how to interact with and treat non-combatants, and reduced reports of ethical misconduct.",1,0,Haber
"But joint custody seems to be less problematic than sole custody, the findings suggest.",1,0,Press_Release
Most of the steam comes from a volcano ' s magma .,1,0,semeval
"Our data demonstrates that the prevalence of sarcopenia is associated with older age, malnutrition and comorbidities.",1,0,Pubmed data.csv
The two-dose 4CMenB priming schedule was highly effective in preventing MenB disease in infants.,1,0,Haber
The drinking habits among adults during midlife affect the atherosclerotic process and sustained heavy drinking is associated with an increased cIMT compared to stable moderate drinkers.,1,0,Haber
There is an association between use of antipsychotic drugs and risk of venous  thromboembolism in a large primary care population.,0,1,Haber
"Compared with the
general population with similar
characteristics, patients recovering from
sepsis had a markedly elevated risk of MI
or stroke in the first 4 weeks after
discharge from hospital.",1,0,Haber
Police said two women and one man died at a branch of the Marfin bank which caught fire after rioters broke a window and threw Molotov cocktails inside .,1,0,esl2
"After defeating , but not subjugating , the Kingdom of Scotland , he declared himself rightful heir to the French throne in 1338 , but his claim was denied due to the Salic law .",1,0,altlex
