sentence,True Label,Predicted Label,source
Higher PTX3 levels are associated with lower GFR and independently predict incident CKD in elderly men and women.,causal,non-causal,Haber
"Among participants at high genetic risk, a favorable lifestyle was associated with a nearly 50% lower relative risk of coronary artery disease than was an unfavorable lifestyle.",causal,non-causal,Haber
Williams was pulled over by the California Highway Patrol for speeding in a San Diego freeway .,causal,non-causal,esl2
"A brief telephone-based intervention with a focused message delivered by a registered dietitian is a feasible approach for encouraging targeted dietary changes, such as an increase in soy intake among peri- and postmenopausal women.",causal,non-causal,Pubmed
"“ My client is ensconced in the bosom of that facility right now , ” Heller argued after a prosecutor objected to Lohan ’ s choice of facilities .",causal,non-causal,esl2
Our study did not show an increased risk of orofacial clefts with the use of corticosteroids during pregnancy.  Indepth investigation of the pattern of association between orofacial clefts and the use of dermatologic corticosteroids during pregnancy indicated that this result did not signify a causal connection and likely arose from multiple statistical comparisons.,causal,non-causal,Haber
"Evictions decreased after Medicaid expansion, demonstrating further evidence of the substantive financial protections afforded by this coverage.",causal,non-causal,Haber
"Roe vs. Wade , the 1973 case legalizing abortion, made fetal viability an important legal concept .",causal,non-causal,because
He schose the better approach: to be honest and understanding and to acknowledge the distress caused by the hallucinations or delusions .,causal,non-causal,semeval
"Mr. Bernanke:  Congressman, our first objective is to make sure that these firms are safe and able to withstand the current stresses.",causal,non-causal,because
"""Morning Sickness"" is a bit of a misnomer , as nausea from pregnancy ; it can happen at any time of the day .",causal,non-causal,semeval
"The tension in the crowd was broken with a burst of applause after the $5 million mark, and a louder explosion at $6 million.",causal,non-causal,because
"Of course , football is the ultimate team game and fellow Charger Vincent Jackson was arrested last month for DUI as well .",causal,non-causal,esl2
Preliminary experiments seemed to support this idea in that the quenches produced the predicted high vortex-densities .,causal,non-causal,semeval
"Compared with a statin
alone, the addition of alirocumab cost $308 000 (UI, $197 000 to
$678 000) per QALY.",causal,non-causal,Haber
No other adipose variable was significant.,causal,non-causal,Pubmed
"To determine , once and for all , how the manakin was making its bizarre sounds , Bostwick and colleagues decided to take feather samples .",causal,non-causal,semeval
"Some people voluntarily get involved with politicisation , while others become victims of circumstances created by the politicisation .",causal,non-causal,semeval
"The day following Rait ’ s death an inexperienced and reportedly ill - equipped mountain climber with rental gear , 31 - year - old Robert Buckley of the U . K . but living in Christchurch , New Zealand , slipped on ice and fell 700 meters to his own death elsewhere in the same National Park .",causal,non-causal,esl2
"His appointment to that post, which has senior administrative, staff and policy responsibilities, followed a several-year tenure as Reuters's editor in chief.",causal,non-causal,ctb
"""Thompson was not so easy to box . In 2008 , Klitschko stopped Thompson in the 11th round .",causal,non-causal,esl2
"The committee criticized Torricelli for maintaining a ""personal and official relationship with Chang under circumstances where you knew that he was attempting to ingratiate himself, in part through a pattern of attempts to provide you and those around you with gifts over a period of several years.""",causal,non-causal,because
"Montreal, November 17, 2014 - Resistance to antibiotics is an important health concern that affects both the spread of infections, like Clostridium difficile, and the medication budget.",causal,non-causal,Press Release
Today 's composers have combined some of these ideas to develop their own styles .,causal,non-causal,altlex
Childhood ETS exposure was associated with detectable differences on computed tomography scans of adult lungs of nonsmokers.,causal,non-causal,Haber
The three bank workers - two women and a man - were killed when their branch went up in flames after a protester threw a petrol bomb inside .,causal,non-causal,esl2
"“ The “ Mean Girls ” star fooled an L . A Superior Court judge , a Santa Monica prosecutor and apparently her own lawyer , by pretending to check into a rehabilitation facility , but chickening out when she got there . Unfortunately , Morningside is unlicensed and photogs snapped her shopping for gadgets at the very moment of her alleged check in .",causal,non-causal,esl2
"Financial integration between physicians and hospitals has
been associated with higher commercial prices and spending for outpatient care",causal,non-causal,Haber
"This was our first day back volunteering there but he wasn ' t feeling good , had a fever from immunizations .",causal,non-causal,semeval
The number of identified SLNs did not differ significantly between TcTM and TcSC.,causal,non-causal,Pubmed
Mark Jay Heller told a judge that Lohan was settling in at Morningside Recovery and argued that the actress should be allowed to stay until a judge approves her placement .,causal,non-causal,esl2
Out of pocket costs play major role in treatment adherence for cancer patients,causal,non-causal,Press Release
This study is the first to contrast the associations of HDL-2 and HDL-3 with CAAD.,causal,non-causal,Pubmed
Discussion ensued from the Florida contingent on the fact that very stringent landowner protection laws in Florida make it imperative that the highest supportable appraised vallue be offered first .,causal,non-causal,semeval
"PSA–TT was highly effective at prevention of serogroup A invasive meningococcal disease and carriage
in Chad.",causal,non-causal,Haber
New tool helps surgeons predict patients  risk of complications after bariatric operations,causal,non-causal,Press Release
""" Significant differences were found among patients visiting the cancer center versus the mobile mammography van.",causal,non-causal,Pubmed
"Whitmire questioned why several prisons , including the Estelle unit , stopped searching visitors two months before Comeaux's escape and moved to random pat - downs .",causal,non-causal,esl2
"In our study, HVBP was not associated with improvements in measures of clinical process or patient experience and was not associated with significant reductions in two of three mortality measures.",causal,non-causal,Haber
"Guitars are played acoustically; the tone is produced by the vibration of the strings which is amplified by the body of the guitar , which acts as a large hollow resonating chamber , or they may rely on an amplifier that can electronically manipulate tone .",causal,non-causal,semeval
"The singer , who performed three of the nominated songs , also caused a commotion on the red carpet .",causal,non-causal,semeval
John Jenkin was arrested on suspicion of murder shortly afterwards .,causal,non-causal,esl2
"Compared with the reference  group (persistently high socioeconomic circumstances), participants in other groups had elevated levels of depression (for upward mobility, multivariate odds ratios  (OR) = 1.21; intermediate socioeconomic position, 1.28; downward mobility, 1.66;  persistently low socioeconomic position, 1.82).",causal,non-causal,Haber
"The increase in beer excise tax was associated with a lower average annual firearm homicide rate in all states except Illinois (Rhode Island: incidence rate difference= –2.48, Connecticut: incidence rate difference= –2.57, New York: incidence rate difference= –1.45, North Carolina: incidence rate difference= –0.45, and Illinois: incidence rate difference=1.54 per 100,000 population).",causal,non-causal,Haber
"Funded by the National Cancer Institute, the study found that photosensitizing antihypertensive drugs such as nifedipine and hydrochlorothiazide were associated with cancer of the epithelial cells known as squamous cells--which are the main part of the outermost layer of the lips and skin.",causal,non-causal,Press Release
"Asking patients if a suspicious skin lesion is painful or itchy may help doctors decide whether the spot is likely to be cancerous, according to a new study headed by Gil Yosipovitch, MD, Chairman of the Department of Dermatology at Temple University School of Medicine.",causal,non-causal,Press Release
"Buffy Summers has just moved to Sunnydale after burning down her old school 's gym , and hopes to escape her Slayer duties .",causal,non-causal,altlex
"The study, supported by a $2 million, three-year award to Georgia State's Andrew Young School of Policy Studies and Emory School of Medicine from the National Institutes of Health's National Institute on Aging, identifies factors associated with hospital readmission within 30 days after surgery procedures.",causal,non-causal,Press Release
"Hence, it is attractive not to purchase a TV-license, but if too many do so, the good may not be provided at all.",causal,non-causal,Ssc
"The system intensified rapidly and just 6 hours later , the JMA upgraded the system to a tropical storm , naming it `` Merbok '' .",causal,non-causal,altlex
As many of you undoubtedly know there was a rather suspicious fire that burned the old Matanuska Maid Creamery to the ground .,causal,non-causal,esl2
"Again, thank you for your leadership.",causal,non-causal,because
Judge sentences Orozco to death A Norwalk Superior Court judge on Thursday upheld a jury's recommendation that convicted cop killer Jose Luis Orozco die for his crimes .,causal,non-causal,esl2
"Although there was great progress in the last two months , when winter arrived , the tired German army was forced to delay its attack , just outside Moscow .",causal,non-causal,altlex
Thompson briefly stepped up his cautious tactics when landing a left to Klitschko's face in the third .,causal,non-causal,esl2
The break in an undersea cable on that affected Seacom has been repaired Undersea cable operator Seacom announced today ( 4 November 2011 ) that repairs have been completed on a broken cable off the coast of Egypt that caused an outage on its network .,causal,non-causal,esl2
"In an epidemiologic study, minimally invasive radical hysterectomy was associated with shorter overall survival than open surgery among women with stage IA2 or IB1 cervical carcinoma.",causal,non-causal,Haber
"Moreover, there was a very high, significant, positive correlation between WC, BMI and VAI.",causal,non-causal,Pubmed
The City Attorney's Office is considering whether to file misdemeanor drunk - driving charges against Chargers defensive lineman Jamal Williams .,causal,non-causal,esl2
"On 12 July 1943 , the Soviets launched their own counter-offensives , thereby dispelling any hopes of the German Army for victory or even stalemate in the east .",causal,non-causal,altlex
"Our analysis did not find a significant teratogenic
effect from maternal use of statins in the first trimester",causal,non-causal,Haber
"If a participant complaint is the source of an investigative lead , interim contact with the participant should be made by the investigator .",causal,non-causal,semeval
There is a close association between elevated lipids and hepatic  steatosis.,causal,non-causal,Pubmed
Large Riot Breaks Out In Brooklyn During Vigil For Teen Shot 11 Times By Police,causal,non-causal,esl2
Pre-operative body mass index was a useful predictor for recurrence and survival in patients who underwent microvascular reconstruction for head and  neck squamous cell cancer.,causal,non-causal,Pubmed
"For that reason, I look forward to hearing from today's witnesses about what we can do to provide for an orderly resolution in the event a large financial institution fails.",causal,non-causal,because
Two men have died in separate climbing accidents at Mt Cook this weekend .,causal,non-causal,esl2
"""In contrast to studies in women of European ancestry, this study showed no transient increase in the risk of developing BC after FTP among African women.""",causal,non-causal,Pubmed
"In a population-based, randomized survey experiment conducted in rural southwestern Uganda, portrayals of effectively treated mental illness did not appear to reduce endorse- ment of stigmatizing beliefs about mental illness or about persons with mental illness.",causal,non-causal,Haber
The 1985 reports give a picture of what led to the disaster and how it developed .,causal,non-causal,altlex
"Starting antiretroviral therapy
later than guidelines suggest resulted in up to 15 years’ loss of life: at age 20, life expectancy was 37.9 (1.3), 41.0 (2.2), and 53.4 (1.2) years
in those starting antiretroviral therapy with CD4 count <100, 100-199,
and 200-350 cells/mm3
, respectively.",causal,non-causal,Haber
Patients with both type 1 diabetes and CKD have an increased risk of adverse outcomes.,causal,non-causal,Press Release
A childhood obesity intervention with electronic decision support for clinicians and self-guided behavior-change support for parents may be more cost-effective than previous clinical interventions.,causal,non-causal,Pubmed
"Among infants with NAS, variants in the OPRM1 and COMT genes were associated with a shorter length of hospital stay and less need for treatment",causal,non-causal,Haber
"During March , most of the Egyptian Expeditionary Force 's British infantry and Yeomanry cavalry were sent to fight on the Western Front as a consequence of the Spring Offensive .",causal,non-causal,altlex
A large fire has destroyed much of a supermarket in Somerset .,causal,non-causal,esl2
"The bacteria is the cause of pneumonia , including common uses , side effects , interactions and risks .",causal,non-causal,semeval
"Detroit Office Shooter Charged With Murder , Attempted Murder A man fired four days earlier from his job as an accountant walked into his old office , passed by the receptionist and made his way to a manager's office with the purpose of killing him with a shotgun , a police sergeant said Wednesday during the man's arraignment .",causal,non-causal,esl2
"During the intervention, current (past 30 day) smoking decreased from 57% (baseline) to 48% (at follow-up 3; P = .002), and daily smoking decreased from 22% to 15% (P < .001).",causal,non-causal,Haber
"In diabetic patients with MV-CAD, CABG was associated with a lower rate of long-term MACCE relative\\xa0to PCI for both ACS and SIHD.",causal,non-causal,Pubmed
Annual FPG and HbA1c variations have a strong association with diabetic nephropathy in patients with type 2 diabetes.,causal,non-causal,Haber
The restaurant operator cited transaction costs from its 1988 recapitalization as a result of a $ 160 million restructuring of its bank debt.,causal,non-causal,ctb
Fatty acid and phospholipid chlorohydrins cause cell stress and endothelial adhesion .,causal,non-causal,semeval
"""My client is ensconced in the bosom of that facility right now , "" Heller argued after a prosecutor objected to Lohan's choice of rehab facilities .",causal,non-causal,esl2
"The ruling, which does not affect Nelson's guilty plea, sends the case back to the trial court for resentencing.",causal,non-causal,because
"There was no consistent relationship between prior HF hospitalizations and
1-year mortality in moderate- or high-risk HF patients. In otherwise “low-risk” HF inpatients, a history of 2 or more HF hospitalizations within the prior 12 months markedly increases 1-year mortality risk",causal,non-causal,Haber
SEACOM downtime has local ISPs scrambling to keep customers online ; MWEB issues an update Summary : MWEB has managed to restore 83% of the required capacity on SEACOM .,causal,non-causal,esl2
"On this basis , the vibronically coupled CD bands of lutein diacetate are attributed to an excitonic interaction arose from the twisted nematic layers .",causal,non-causal,semeval
"The 5 . 9 - magnitude quake struck Qeshm island , home to 120 , 000 people , and the city of Bandar Abbas , state media said . The governor of Qeshm island told the AFP news agency four villages had been destroyed and three people killed .",causal,non-causal,esl2
The percentage of young women with risk factors for breast cancer was found to be alarmingly high.,causal,non-causal,Pubmed
"So far , 11 Estelle unit employees have been recommended for termination or faced consequences related to Comeaux's escape . Four of those elected to retire instead of facing disciplinary action , including the two officers who drove Comeaux in the van on the day he escaped .",causal,non-causal,esl2
"On both of my systems , the reboot produced the ominous message ' Missing operating system ' .",causal,non-causal,semeval
Deputy's Alleged Killer Held A 27 - year - old parolee is found 'cowering in a bathtub' near the house where Jerry Ortiz had been shot in the head a few hours earlier .,causal,non-causal,esl2
Good breeding consists of concealing how much we think of ourselves and how little we think of the other person .,causal,non-causal,semeval
"Mortality is high following MI for PWH and substantially greater after T2MI than T1MI. Predictors of death after MI differed by type of MI, reinforcing the different clinical scenarios associated with each MI type.",causal,non-causal,Haber
Protein intake exceeding the RDA did not increase LBM,causal,non-causal,Haber
We found higher levels of estrogens and androgens in Japanese Brazilians than in Japanese and levels similar to or higher than in non-Japanese Brazilians.,causal,non-causal,Haber
"However, body mass index greater than 25  and smoking history are cause for caution.",causal,non-causal,Pubmed
"Paroxetine use during tamoxifen treatment is associated with an increased risk of death from breast cancer, supporting the hypothesis that paroxetine can reduce or abolish the benefit of tamoxifen in women with breast cancer",causal,non-causal,Haber
"According to a report from TMZ published this week ( June 13 ) , the Mean Girls actress has had enough of the Palm Springs rehab centre and has decided to spend the rest of her court - ordered stay in a rehab centre in Malibu , named the Cliffside . Lindsay hasn't messed around in getting to the new facility either and she is reportedly already a patient of the Cliffside rehab centre , having checked out of the Betty Ford Centre on Thursday ( June 13 ) this week and committing herself to Cliffside almost immediately afterward .",causal,non-causal,esl2
"Regarding implementation, the recent reports have stressed the need for supervisors to insist on strong risk measurement and risk management practices that allow managers to assess the risk that they face on a firm-wide basis.",causal,non-causal,because
"Properties of the soils developed from the amphibolites of Santiago-Ponte Ulla , Spain .",causal,non-causal,semeval
"Authorities said a witness called 911 to report the shooting , which occurred after Ortiz knocked on the residence's door , according to the sheriff's department . Ortiz was shot in the head , said Larry Waldie of the sheriff's department .",causal,non-causal,esl2
"They also developed a Responsible Care system with other members of the chemical industry as a response to the Bhopal crisis , which was designed to help prevent such an event in the future .",causal,non-causal,altlex
Insuring poor households for efficacious but costly and underused health services significantly improves population health in India,causal,non-causal,Haber
"Having a free pass was significantly associated with greater active
travel among both disadvantaged and advantaged groups.",causal,non-causal,Haber
Deputy Ortiz was shot to death outside an apartment in the 12000 block of East 223rd Street .,causal,non-causal,esl2
"On the other hand , the higher the satisfaction from the purchase , the greater the benefit of word-of-mouth referrals and repeat purchasing .",causal,non-causal,semeval
"In regular users of multivitamin supplements, the risk of nuclear opacification was reduced by one third; in regular users of vitamin E supplements and persons with higher plasma levels of vitamin E, the risk was reduced by approximately half.",causal,non-causal,Pubmed
UNHCR condemns air attack on refugee camp in South Sudan,causal,non-causal,esl2
"A new finding was the independent relationship in plasma between low provitamin A carotenoids and high MMP-9, suggesting a link between these carotenoids, matrix turnover and arterial remodelling.",causal,non-causal,Haber
"But now that the immediate crisis created by the run on Bear Stearns has passed, we face some difficult, long-term policy questions.",causal,non-causal,because
This association remained in patients with recent hormone use.,causal,non-causal,Pubmed
"On the basis of a systematic review of studies that were judged to be of high or medium quality, there is an indication that some nutritional factors seem to be associated with an increased fracture risk among children.",causal,non-causal,Pubmed
"After the war , as the Midway was preparing for retirement , she was called upon one last time to the Philippines to help with an evacuation after the eruption of Mt . Pinatubo .",causal,non-causal,semeval
"""Vodafone , along with the country's three telecom providers has been affected by a damage in one of Telecom Egypt's fiber cables in a wire going from the Ramsis Communications Center all the way to Sadat City , "" said Khaled Hegazy , Vodafone's external affairs director .",causal,non-causal,esl2
"In this large observational prospective study, higher consumption of ultra-processed foods was associated with higher risks of cardiovascular, coronary heart, and cerebrovascular diseases.",causal,non-causal,Haber
"A man fired four days earlier from his job as an accountant walked into his old office , passed by the receptionist and made his way to a manager's office with the purpose of killing him with a shotgun , a police sergeant said Wednesday during the man's arraignment .",causal,non-causal,esl2
"Steps are being taken to improve market infrastructure, especially where our financial firms are highly intertwined.",causal,non-causal,because
"In a surprising move nearly three weeks following the end of their season , the Sixers fired Jim O'Brien on Monday after one season as coach and replaced him with Cheeks , one of the most popular players in franchise history .",causal,non-causal,esl2
"Averaged across current English clinical practice and populations, varenicline is marginally more effective than combination NRT",causal,non-causal,Haber
"""Thus, promoting social support for the IMSS diabetic patients could be a useful intervention.""",causal,non-causal,Pubmed
"Thus, these substitutions could be useful to tackle  the diabetes epidemic.",causal,non-causal,Pubmed
"Yet on the whole , given the constraints of sticking so closely to the original book , the developer has crafted a thoroughly pleasing puzzle adventure .",causal,non-causal,semeval
"In the days following the disaster , an international reconnaissance team of engineers was dispatched to the region to make a detailed preliminary survey of damaged buildings .",causal,non-causal,altlex
"This outcome suggests that if both the economic and the psychological contexts of decisions are carefully replicated, the laboratory can be used as an inexpensive way to test potential policy mechanisms.",causal,non-causal,Ssc
"""The vessel has received the master permit for this repair ; operational permits are being finalized and should be received prior to arrival on the repair ground , "" Seacom said .",causal,non-causal,esl2
"It is clear that some institutions, if they fail, can have a systemic impact.",causal,non-causal,because
"However, the improvement of the pCR rate translated to survival outcomes in TN breast cancer.",causal,non-causal,Pubmed
the  short-term risk for sustained ventricular tachycardia in patients with a prolonged  QTc who subsequently received levofloxacin was very rare.,causal,non-causal,Haber
"Publicly, they are unwilling to make any sweeping assertion. The reason, they remember Richard Jewell.",causal,non-causal,ctb
A small decrease in mean calories purchased per transaction was observed after  implementation of calorie labeling in a large franchise of fast food restaurants.,causal,non-causal,Haber
Lohan reportedly pulled up to Morningside in an SUV but the vehicle left without the actress ever getting out .,causal,non-causal,esl2
"As actors participate in the production of public goods, processes of social comparison may affect the decisions about the individual contributions as well as the endogenously changing structure of an underlying social network.",causal,non-causal,Ssc
"The studies revealed that skin irritation from soaps , inaccessibility to supplies or sinks , and insufficient time to wash hands between every patient care contact were the main reasons given by healthcare workers for lack of handwashing compliance .",causal,non-causal,semeval
"Long-term exposure to PM2.5 is associated with increased level of systemic inflammation, supporting the biological link between PM2.5 air pollution and deteriorating cardiovascular health.",causal,non-causal,Haber
Heart transplant patients at risk for serious skin cancers,causal,non-causal,Press Release
A new RAND Corporation study examining the impact of retail medical clinics on the receipt of primary medical care finds mixed evidence about whether the clinics may disrupt doctor-patient relationships.,causal,non-causal,Press Release
"And then the things we have talked about here that can be done quickly are the resolution authorities for complex financial institutions that aren't federally insured, giving the Federal Reserve authority and responsibility over the payment systems, which can be done very quickly; moving to have the Fed while retaining their responsibilities as a consolidated regulator, to give them the authorities they need to do the macro stability job, can be done.",causal,non-causal,because
Farewell to another piece of Mat Maid fast - moving fire destroyed the historic Matanuska Maid warehouse early this morning .,causal,non-causal,esl2
"When the negotiations failed , his attempt was revealed to Germany resulting in a diplomatic catastrophe .",causal,non-causal,altlex
Losing weight won t make you happy,causal,non-causal,Press Release
""" Careful assessment of findings as BPE versus NME can improve PPVs, particularly in younger women.",causal,non-causal,Pubmed
"The precise nature of these invasions has not been fully determined , with doubts being cast on the legitimacy of historical accounts due to a lack of archaeological finds .",causal,non-causal,altlex
"ur pilot experiments indicated that the realized duration of games, especially in the early repeated games, had a substantial effect on the subjects' cooperation rates.",causal,non-causal,Ssc
A neoplastic recurrence arose from an extensive radiation induced ulceration .,causal,non-causal,semeval
"After Tropical Storm Banyan dissipated during October 14 , no tropical storms or typhoons were observed within the basin until Tropical Depression 27W developed into Tropical Storm Washi during December 15 , due to high vertical windshear and a strong northeast monsoon .",causal,non-causal,altlex
Our observation that angry subjects contribute less could be the result of a change in social preferences or a change in beliefs about the behaviour of others.,causal,non-causal,Ssc
"The pain from an ulcer is usually more severe than pain from indigestion , often gnawing in nature , it sometimes goes through to the back .",causal,non-causal,semeval
"Convicted of second - degree murder and assault in the first degree , Lopez , 20 , faces a potential sentence of life in prison when he is sentenced by Justice Vincent Del Giudice .",causal,non-causal,esl2
"In the study, researchers sought to understand resource use by adults undergoing congenital heart surgery in pediatric hospitals, analyze the association between high resource use and inpatient death, and identify risk factors for high resource use.",causal,non-causal,Press Release
"The actress spent time at the Betty Ford Center in 2010 ; however , a member of the staff ended up suing her for assault .",causal,non-causal,esl2
These findings show that patients with atherosclerotic cardiovascular disease benefit from lowering of LDL cholesterol levels below current targets.,causal,non-causal,Pubmed
"Third , air and water pollution from fossil fuels are a huge problem in China .",causal,non-causal,semeval
Alternative medicine use high among children with chronic conditions  UAlberta medical research,causal,non-causal,Press Release
Ezetimibe 20 mg daily reduced total and LDL cholesterol further in patients receiving statin therapy compared with 10 mg daily.,causal,non-causal,Pubmed
"Wladimir Klitschko stopped Tony Thompson in the sixth round to keep a comfortable hold on his WBA , IBF and WBO heavyweight title belts on Saturday in Bern , Switzerland .",causal,non-causal,esl2
"In the Senate , the sizzle comes from an issue ad bill from Dem Sen . Jon Erpenbach .",causal,non-causal,semeval
"In a joint collaboration between the Global Health Institute at EPFL in Switzerland and Louisiana State University, clear evidence was found that a never-before-seen strain of Mycobacterium leprae has emerged in the Southern United States and that it is transmitted through contact with armadillos carrying the disease.",causal,non-causal,Press Release
My first encounter in my luxurious hotels casino was the sound of a woman behind the roulette wheels screaming for joy after hitting the 12225 . 00 jackpot .,causal,non-causal,semeval
"Despite a 50% decline, osteoporotic fractures still have a significant impact on mortality.",causal,non-causal,Haber
"During 5 days of azithromycin therapy, there was a small absolute increase in cardiovascular deaths, which was most pronounced among patients with a high baseline risk of cardiovascular disease.",causal,non-causal,Haber
Hundreds of thousands in central China are sleeping outdoors for fear of more tremors after Saturday ' s earthquake .,causal,non-causal,semeval
"When he was arrested , he was on probation for a previous DUI arrest , according to the California Highway Patrol .",causal,non-causal,esl2
"The refugees said the plane had circled before launching two bombing raids . Five bombs were dropped , of which four exploded , they told our correspondent .",causal,non-causal,esl2
"These findings are important given the high prevalence of overweight and obesity worldwide, and suggest that preventing women of reproductive age from becoming overweight or obese is important to the health of their children.",causal,non-causal,Press Release
"Routinely collected mobile phone data revealed a dramatic reduction in human
mobility during a 3-day lockdown in Sierra Leone.",causal,non-causal,Haber
"a high intake of fats, phosphorus, vitamin B5, vitamin E, and selenium intake and red meat appears to be related to the presence OSCC in Cordoba, Argentina.",causal,non-causal,Pubmed
Millom double murder : Man charged with killing mother and sister,causal,non-causal,esl2
Findings suggest that the roll-out of VMMC in Orange Farm is associated with a significant reduction of HIV levels in the community.,causal,non-causal,Haber
The length of day and night could be changed ( AKA re-programmed ) every day in order to account for the changing lengths of day and night throughout the year .,causal,non-causal,altlex
Article 231 of the Treaty of Versailles ( the so-called `` war guilt '' clause ) stated Germany accepted responsibility for `` all the loss and damage to which the Allied and Associated Governments and their nationals have been subjected as a consequence of the war imposed upon them by the aggression of Germany and her allies . `',causal,non-causal,altlex
The pain was radiating from the contraction out to my hips and back and then down both my legs all the way to my toes .,causal,non-causal,semeval
"In wooing British lawmakers, GM has pointed out that its willingness to settle for a minority stake would keep Jaguar British-owned and independent.",causal,non-causal,ctb
"Both are charged with murder , with Lopez standing accused of letting off 13 shots in Horton's death . One of the two Mothers with Horton that day testified at the trial .",causal,non-causal,esl2
"Tens of thousands of striking workers and civil servants took to the streets and masked youths clashed with police in riot gear , who responded with steady rounds of tear gas and flash bombs which clouded the city centre .",causal,non-causal,esl2
"Lindsay Lohan checked into California's Betty Ford Center rehab facility late Thursday , dodging arrest after whirlwind confusion surrounding the actress' whereabouts , sources told the Daily News .",causal,non-causal,esl2
"Jay Stevens, an analyst with Dean Witter Reynolds, said he expected the Sunnyvale, Calif., company to earn 35 cents a share for the quarter and said the firm's weaker profit was partly the result of increased competition from International Business Machines Corp., Amdahl's principal competitor for mainframe sales.",causal,non-causal,ctb
"Each circuit represents a bit ( binary digit ) of information so that when the circuit is on it represents a `` 1 '' , and when off it represents a `` 0 '' ( in positive logic representation ) .",causal,non-causal,altlex
Lindsay Lohan Checks Into Betty Ford Rehab – Where She 'Knows Everyone',causal,non-causal,esl2
"The Sixers made a power move this offseason , firing head coach Jim O'Brien , who wasn't a Dalembert fan , and replacing him with Mo Cheeks , who is .",causal,non-causal,esl2
"In 1215 , the barons led an armed rebellion and forced him to sign the Magna Carta , which put legal limits on the King 's personal powers .",causal,non-causal,altlex
The hypertriglyceridemic waist phenotype is significantly associated with lower HDL-cholesterol levels in men with heart failure.,causal,non-causal,Pubmed
"""Robotic procedure was feasible and could be implemented for treating  the first setting of mixed indications for gynecologic surgery.""",causal,non-causal,Pubmed
"True progress comes from science , debate , inference , logic and reasoning .",causal,non-causal,semeval
"According to the California Highway Patrol , defensive tackle Jamal Williams was arrested on suspicion of drunken driving last weekend on a freeway outside downtown .",causal,non-causal,esl2
There are no indications that endogenous and exogenous gonadal hormones affect the radiation dose-response relationship.,causal,non-causal,Pubmed
"Thus, if the default effect is partly explained by information conveyance, we expect to find it less pronounced when the default contribution can be a randomly drawn number over the support of choices in the game.",causal,non-causal,Ssc
"Both conbercept and ranibizumab are effective in the treatment of DME, achieving the similar clinical efficacy.",causal,non-causal,Pubmed
So there are a number of things we can do to strengthen the oversight under existing statutes and to make sure that the infrastructure is working as well as possible.,causal,non-causal,because
"lung support technology, the University of Michigan's Transplant Center was able to increase the number of kidneys, livers and pancreases available for transplant by about 20 percent.",causal,non-causal,Press Release
"He preserved the working ranches of the west , while achieving an expansion of the ranch ' s value through development and management of the recreational ecosystem within the ranch .",causal,non-causal,semeval
We believe that the atherogenic index also be used as a preliminary indication of accelerated atherosclerosis in FMF.,causal,non-causal,Pubmed
"Although a principally exploitative relationship between owners and drivers does not necessarily improve intergroup relations, familiarity with intergroup economic ties may explain the lack of ethnic bias in the laboratory game.",causal,non-causal,Ssc
The importance of the team composition in ICUs,causal,non-causal,Press Release
"Patients with low socioeconomic status were more often obese, physically inactive, smoking, and had elevated blood pressure.",causal,non-causal,Pubmed
"Overall , discomfort from braces is typically short in duration and easily managed .",causal,non-causal,semeval
Cheeks returns as Sixers' fixer Jim O'Brien was shown the door after a single tumultuous season .,causal,non-causal,esl2
"Although the barrier prevented suicides at Bloor Street  Viaduct, the rate of suicide by jumping in Toronto remained unchanged.",causal,non-causal,Haber
The positive association between HbA1c and risk of heart failure in fairly young patients with type 1 diabetes indicates a potential for prevention of heart failure with improved glycaemic control.,causal,non-causal,Haber
Our analyses suggest that SNAP participants have lower dietary quality than their income-eligible nonparticipant counterparts.,causal,non-causal,Haber
"As one individual increases his or her effort, the personal payoff increases regardless of other individuals' actions (the left panel); however, as the aggregate effort of the other individuals increases, the payoff for that particular individual decreases (the right panel), more clearly demonstrating the negative externality.",causal,non-causal,Ssc
Our assessment of the programme of pertussis vaccination in pregnancy in England is consistent with high vaccine effectiveness.,causal,non-causal,Haber
"The White House said Mr. Bush decided to grant duty-free status for 18 categories, but turned down such treatment for other types of watches "" because of the potential for material injury to watch producers located in the U.S. and the Virgin Islands. """,causal,non-causal,ctb
"Comeaux , a 6 - foot , 200 - pound black male , was serving a life sentence for crimes he committed in three Texas counties .",causal,non-causal,esl2
"Patients experience WL following RC, which may be indicative of malnutrition.",causal,non-causal,Pubmed
"Lindsay Lohan has checked out of the Betty Ford Treatment Center in Palm Springs after completing a 30 - day program , but she's not in the clear yet !",causal,non-causal,esl2
"""The combination of ezetimibe plus fenofibrate appeared to produce nearly identical alterations in serum lipoprotein levels when compared to monotherapy with 10 mg of atorvastatin.""",causal,non-causal,Pubmed
"For this school, once they are in, all they have to do is come every day, come on time every day and work hard.",causal,non-causal,because
"In March 2007 , Barenboim said : `` The whole subject of Wagner in Israel has been politicized and is a symptom of a malaise that goes very deep in Israeli society ... '' Performing in the West Bank and Gaza Strip .",causal,non-causal,altlex
"Furthermore, the results of this study led by Lawrence Long from the University of the Witwatersrand in Johannesburg, South Africa, and published in this week's PLoS Medicine also show that this primary health care transfer strategy was cost effective and able to improve or maintain patient responses to antiretroviral therapy for 11% lower cost than doctor-managed, hospital-based outpatient treatment.",causal,non-causal,Press Release
